State	Both sexes	Male	Female	Sex ratio	Under 18 years Number	Under 18 years Percent	18 to 44 years Number	18 to 44 years Percent	45 to 64 years Number	45 to 64 years Percent	65 years and over Number	65 years and over Percent	Median age
Alabama	4,779,736	2,320,188	2,459,548	94.3	1,132,459	23.7	1,707,598	35.7	1,281,887	26.8	657,792	13.8	37.9
Alaska	710,231	369,628	340,603	108.5	187,378	26.4	270,980	38.2	196,935	27.7	54,938	7.7	33.8
Arizona	6,392,017	3,175,823	3,216,194	98.7	1,629,014	25.5	2,312,398	36.2	1,568,774	24.5	881,831	13.8	35.9
Arkansas	2,915,918	1,431,637	1,484,281	96.5	711,475	24.4	1,026,205	35.2	758,257	26.0	419,981	14.4	37.4
California	37,253,956	18,517,830	18,736,126	98.8	9,295,040	25.0	14,423,538	38.7	9,288,864	24.9	4,246,514	11.4	35.2
Colorado	5,029,196	2,520,662	2,508,534	100.5	1,225,609	24.4	1,913,620	38.1	1,340,342	26.7	549,625	10.9	36.1
Connecticut	3,574,097	1,739,614	1,834,483	94.8	817,015	22.9	1,231,474	34.5	1,019,049	28.5	506,559	14.2	40.0
Delaware	897,934	434,939	462,995	93.9	205,765	22.9	318,409	35.5	244,483	27.2	129,277	14.4	38.8
District of Columbia	601,723	284,222	317,501	89.5	100,815	16.8	292,419	48.6	139,680	23.2	68,809	11.4	33.8
Florida	18,801,310	9,189,355	9,611,955	95.6	4,002,091	21.3	6,460,456	34.4	5,079,161	27.0	3,259,602	17.3	40.7
Georgia	9,687,653	4,729,171	4,958,482	95.4	2,491,552	25.7	3,703,257	38.2	2,460,809	25.4	1,032,035	10.7	35.3
Hawaii	1,360,301	681,243	679,058	100.3	303,818	22.3	492,018	36.2	369,327	27.2	195,138	14.3	38.6
Idaho	1,567,582	785,324	782,258	100.4	429,072	27.4	554,992	35.4	388,850	24.8	194,668	12.4	34.6
Illinois	12,830,632	6,292,276	6,538,356	96.2	3,129,179	24.4	4,748,154	37.0	3,344,086	26.1	1,609,213	12.5	36.6
Indiana	6,483,802	3,189,737	3,294,065	96.8	1,608,298	24.8	2,318,485	35.8	1,715,911	26.5	841,108	13.0	37.0
Iowa	3,046,355	1,508,319	1,538,036	98.1	727,993	23.9	1,052,998	34.6	812,476	26.7	452,888	14.9	38.1
Kansas	2,853,118	1,415,408	1,437,710	98.4	726,939	25.5	1,012,552	35.5	737,511	25.8	376,116	13.2	36.0
Kentucky	4,339,367	2,134,952	2,204,415	96.8	1,023,371	23.6	1,555,679	35.9	1,182,090	27.2	578,227	13.3	38.1
Louisiana	4,533,372	2,219,292	2,314,080	95.9	1,118,015	24.7	1,667,563	36.8	1,189,937	26.2	557,857	12.3	35.8
Maine	1,328,361	650,056	678,305	95.8	274,533	20.7	432,072	32.5	410,676	30.9	211,080	15.9	42.7
Maryland	5,773,552	2,791,762	2,981,790	93.6	1,352,964	23.4	2,114,974	36.6	1,597,972	27.7	707,642	12.3	38.0
Massachusetts	6,547,629	3,166,628	3,381,001	93.7	1,418,923	21.7	2,410,178	36.8	1,815,804	27.7	902,724	13.8	39.1
Michigan	9,883,640	4,848,114	5,035,526	96.3	2,344,068	23.7	3,416,012	34.6	2,762,030	27.9	1,361,530	13.8	38.9
Minnesota	5,303,925	2,632,132	2,671,793	98.5	1,284,063	24.2	1,899,479	35.8	1,437,262	27.1	683,121	12.9	37.4
Mississippi	2,967,297	1,441,240	1,526,057	94.4	755,555	25.5	1,067,034	36.0	764,301	25.8	380,407	12.8	36.0
Missouri	5,988,927	2,933,477	3,055,450	96.0	1,425,436	23.8	2,113,347	35.3	1,611,850	26.9	838,294	14.0	37.9
Montana	989,415	496,667	492,748	100.8	223,563	22.6	330,420	33.4	288,690	29.2	146,742	14.8	39.8
Nebraska	1,826,341	906,296	920,045	98.5	459,221	25.1	648,541	35.5	471,902	25.8	246,677	13.5	36.2
Nevada	2,700,551	1,363,616	1,336,935	102.0	665,008	24.6	1,019,158	37.7	692,026	25.6	324,359	12.0	36.3
New Hampshire	1,316,470	649,394	667,076	97.3	287,234	21.8	446,764	33.9	404,204	30.7	178,268	13.5	41.1
New Jersey	8,791,894	4,279,600	4,512,294	94.8	2,065,214	23.5	3,115,326	35.4	2,425,361	27.6	1,185,993	13.5	39.0
New Mexico	2,059,179	1,017,421	1,041,758	97.7	518,672	25.2	719,307	34.9	548,945	26.7	272,255	13.2	36.7
New York	19,378,102	9,377,147	10,000,955	93.8	4,324,929	22.3	7,252,871	37.4	5,182,359	26.7	2,617,943	13.5	38.0
North Carolina	9,535,483	4,645,492	4,889,991	95.0	2,281,635	23.9	3,512,362	36.8	2,507,407	26.3	1,234,079	12.9	37.4
