HCPCS_CODE,HCPCS_DESCRIPTION,YEAR,NUMBER_OF_SUPPLIER_BENEFICIARIES,NUMBER_OF_SUPPLIER_CLAIMS
A4216,"Sterile water, saline and/or dextrose, diluent/flush, 10 ml",2013,248.0,3404.0
A4216,"Sterile water, saline and/or dextrose, diluent/flush, 10 ml",2014,298.0,3627.0
A4216,"Sterile water, saline and/or dextrose, diluent/flush, 10 ml",2015,447.0,4364.0
A4217,"Sterile water/saline, 500 ml",2013,226.0,6408.0
A4217,"Sterile water/saline, 500 ml",2014,247.0,6843.0
A4217,"Sterile water/saline, 500 ml",2015,1437.0,7456.0
A4221,"Supplies for maintenance of drug infusion catheter, per week (list drug separately)",2013,31869.0,235351.0
A4221,"Supplies for maintenance of drug infusion catheter, per week (list drug separately)",2014,34308.0,247758.0
A4221,"Supplies for maintenance of drug infusion catheter, per week (list drug separately)",2015,37294.0,272718.0
A4222,"Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)",2013,15168.0,242451.0
A4222,"Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)",2014,14539.0,246900.0
A4222,"Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)",2015,13933.0,257036.0
A4233,"Replacement battery, alkaline (other than j cell), for use with medically necessary home blood glucose monitor owned by patient, each",2013,86036.0,151271.0
A4233,"Replacement battery, alkaline (other than j cell), for use with medically necessary home blood glucose monitor owned by patient, each",2014,192878.0,408798.0
A4233,"Replacement battery, alkaline (other than j cell), for use with medically necessary home blood glucose monitor owned by patient, each",2015,158869.0,334002.0
A4234,"Replacement battery, alkaline, j cell, for use with medically necessary home blood glucose monitor owned by patient, each",2013,142.0,220.0
A4234,"Replacement battery, alkaline, j cell, for use with medically necessary home blood glucose monitor owned by patient, each",2014,46.0,46.0
A4235,"Replacement battery, lithium, for use with medically necessary home blood glucose monitor owned by patient, each",2013,42781.0,65943.0
A4235,"Replacement battery, lithium, for use with medically necessary home blood glucose monitor owned by patient, each",2014,58235.0,123760.0
A4235,"Replacement battery, lithium, for use with medically necessary home blood glucose monitor owned by patient, each",2015,55681.0,120224.0
A4236,"Replacement battery, silver oxide, for use with medically necessary home blood glucose monitor owned by patient, each",2013,17.0,50.0
A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",2013,3765149.0,10924135.0
A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",2014,3337374.0,10078578.0
A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",2015,3263479.0,9751760.0
A4255,"Platforms for home blood glucose monitor, 50 per box",2013,0.0,21.0
A4256,"Normal, low and high calibrator solution / chips",2013,1096883.0,2856111.0
A4256,"Normal, low and high calibrator solution / chips",2014,819994.0,2666843.0
A4256,"Normal, low and high calibrator solution / chips",2015,678356.0,2398228.0
A4258,"Spring-powered device for lancet, each",2013,775386.0,1167353.0
A4258,"Spring-powered device for lancet, each",2014,671732.0,1131536.0
A4258,"Spring-powered device for lancet, each",2015,543851.0,890751.0
A4259,"Lancets, per box of 100",2013,2459702.0,6069686.0
A4259,"Lancets, per box of 100",2014,1957193.0,5132201.0
A4259,"Lancets, per box of 100",2015,1785294.0,4740883.0
A4265,"Paraffin, per pound",2013,183.0,738.0
A4265,"Paraffin, per pound",2014,97.0,416.0
A4265,"Paraffin, per pound",2015,117.0,344.0
A4310,Insertion tray without drainage bag and without catheter (accessories only),2013,1001.0,25360.0
A4310,Insertion tray without drainage bag and without catheter (accessories only),2014,1343.0,25948.0
A4310,Insertion tray without drainage bag and without catheter (accessories only),2015,1634.0,24301.0
A4311,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc. )",2013,288.0,2816.0
A4311,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",2014,318.0,2632.0
A4311,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",2015,196.0,2160.0
A4312,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way, all silicone",2013,13.0,497.0
A4312,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way, all silicone",2014,0.0,498.0
A4312,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way, all silicone",2015,0.0,336.0
A4313,"Insertion tray without drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation",2013,0.0,46.0
A4313,"Insertion tray without drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation",2014,0.0,76.0
A4313,"Insertion tray without drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation",2015,0.0,84.0
A4314,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc. )",2013,1904.0,79068.0
A4314,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",2014,1890.0,74510.0
A4314,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",2015,1545.0,67183.0
A4315,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way, all silicone",2013,56.0,3308.0
A4315,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way, all silicone",2014,30.0,3303.0
A4315,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way, all silicone",2015,18.0,2979.0
A4316,"Insertion tray with drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation",2013,16.0,112.0
A4316,"Insertion tray with drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation",2014,0.0,38.0
A4316,"Insertion tray with drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation",2015,0.0,26.0
A4320,"Irrigation tray with bulb or piston syringe, any purpose",2013,310.0,4655.0
A4320,"Irrigation tray with bulb or piston syringe, any purpose",2014,347.0,4156.0
A4320,"Irrigation tray with bulb or piston syringe, any purpose",2015,446.0,3704.0
A4322,"Irrigation syringe, bulb or piston, each",2013,249.0,2710.0
A4322,"Irrigation syringe, bulb or piston, each",2014,257.0,2994.0
A4322,"Irrigation syringe, bulb or piston, each",2015,295.0,3817.0
A4326,"Male external catheter with integral collection chamber,  any type, each",2013,0.0,1233.0
A4326,"Male external catheter with integral collection chamber,  any type, each",2014,0.0,926.0
A4326,"Male external catheter with integral collection chamber,  any type, each",2015,0.0,1223.0
A4328,"Female external urinary collection device; pouch, each",2014,20.0,20.0
A4331,"Extension drainage tubing, any type, any length, with connector/adaptor, for use with urinary leg bag or urostomy pouch, each",2013,100.0,1616.0
A4331,"Extension drainage tubing, any type, any length, with connector/adaptor, for use with urinary leg bag or urostomy pouch, each",2014,77.0,1645.0
A4331,"Extension drainage tubing, any type, any length, with connector/adaptor, for use with urinary leg bag or urostomy pouch, each",2015,85.0,1512.0
A4332,"Lubricant, individual sterile packet, each",2013,7852.0,116690.0
A4332,"Lubricant, individual sterile packet, each",2014,9791.0,128591.0
A4332,"Lubricant, individual sterile packet, each",2015,11065.0,144116.0
A4333,"Urinary catheter anchoring device, adhesive skin attachment, each",2013,155.0,6497.0
A4333,"Urinary catheter anchoring device, adhesive skin attachment, each",2014,240.0,6606.0
A4333,"Urinary catheter anchoring device, adhesive skin attachment, each",2015,209.0,6033.0
A4334,"Urinary catheter anchoring device, leg strap, each",2013,1035.0,23843.0
A4334,"Urinary catheter anchoring device, leg strap, each",2014,975.0,22506.0
A4334,"Urinary catheter anchoring device, leg strap, each",2015,976.0,20796.0
A4336,"Incontinence supply, urethral insert, any type, each",2013,0.0,59.0
A4336,"Incontinence supply, urethral insert, any type, each",2014,0.0,16.0
A4338,"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone, silicone elastomer, or hydrophilic, etc. ), each",2013,4774.0,42442.0
A4338,"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",2014,5247.0,43487.0
A4338,"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",2015,5077.0,40815.0
A4340,"Indwelling catheter; specialty type, eg; coude, mushroom, wing, etc. ), each",2013,767.0,5411.0
A4340,"Indwelling catheter; specialty type, eg; coude, mushroom, wing, etc.), each",2014,657.0,5295.0
A4340,"Indwelling catheter; specialty type, eg; coude, mushroom, wing, etc.), each",2015,806.0,5296.0
A4344,"Indwelling catheter, foley type, two-way, all silicone, each",2013,631.0,7111.0
A4344,"Indwelling catheter, foley type, two-way, all silicone, each",2014,637.0,6329.0
A4344,"Indwelling catheter, foley type, two-way, all silicone, each",2015,294.0,5418.0
A4346,"Indwelling catheter; foley type, three way for continuous irrigation, each",2013,0.0,56.0
A4346,"Indwelling catheter; foley type, three way for continuous irrigation, each",2014,0.0,72.0
A4346,"Indwelling catheter; foley type, three way for continuous irrigation, each",2015,0.0,70.0
A4349,"Male external catheter, with or without adhesive, disposable, each",2013,377.0,44576.0
A4349,"Male external catheter, with or without adhesive, disposable, each",2014,237.0,42251.0
A4349,"Male external catheter, with or without adhesive, disposable, each",2015,202.0,36977.0
A4351,"Intermittent urinary catheter; straight tip, with or without coating (teflon, silicone, silicone elastomer, or hydrophilic, etc. ), each",2013,24474.0,284553.0
A4351,"Intermittent urinary catheter; straight tip, with or without coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",2014,27948.0,302299.0
A4351,"Intermittent urinary catheter; straight tip, with or without coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",2015,29512.0,322008.0
A4352,"Intermittent urinary catheter; coude (curved) tip, with or without coating (teflon, silicone, silicone elastomeric, or hydrophilic, etc. ), each",2013,2949.0,67824.0
A4352,"Intermittent urinary catheter; coude (curved) tip, with or without coating (teflon, silicone, silicone elastomeric, or hydrophilic, etc.), each",2014,3592.0,77520.0
A4352,"Intermittent urinary catheter; coude (curved) tip, with or without coating (teflon, silicone, silicone elastomeric, or hydrophilic, etc.), each",2015,4129.0,89559.0
A4353,"Intermittent urinary catheter, with insertion supplies",2013,426.0,24419.0
A4353,"Intermittent urinary catheter, with insertion supplies",2014,325.0,23048.0
A4353,"Intermittent urinary catheter, with insertion supplies",2015,297.0,21457.0
A4354,Insertion tray with drainage bag but without catheter,2013,13.0,1548.0
A4354,Insertion tray with drainage bag but without catheter,2014,14.0,1496.0
A4354,Insertion tray with drainage bag but without catheter,2015,15.0,1167.0
A4355,"Irrigation tubing set for continuous bladder irrigation through a three-way indwelling foley catheter, each",2013,0.0,77.0
A4355,"Irrigation tubing set for continuous bladder irrigation through a three-way indwelling foley catheter, each",2014,20.0,78.0
A4355,"Irrigation tubing set for continuous bladder irrigation through a three-way indwelling foley catheter, each",2015,0.0,36.0
A4356,"External urethral clamp or compression device (not to be used for catheter clamp), each",2013,11.0,104.0
A4356,"External urethral clamp or compression device (not to be used for catheter clamp), each",2014,11.0,163.0
A4356,"External urethral clamp or compression device (not to be used for catheter clamp), each",2015,14.0,223.0
A4357,"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each",2013,13357.0,232617.0
A4357,"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each",2014,13675.0,236058.0
A4357,"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each",2015,14566.0,225520.0
A4358,"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each",2013,7693.0,111791.0
A4358,"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each",2014,7599.0,105210.0
A4358,"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each",2015,7409.0,96448.0
A4362,"Skin barrier; solid, 4 x 4 or equivalent; each",2013,589.0,9862.0
A4362,"Skin barrier; solid, 4 x 4 or equivalent; each",2014,986.0,15074.0
A4362,"Skin barrier; solid, 4 x 4 or equivalent; each",2015,1153.0,17543.0
A4363,"Ostomy clamp, any type, replacement only, each",2013,0.0,144.0
A4363,"Ostomy clamp, any type, replacement only, each",2014,0.0,192.0
A4363,"Ostomy clamp, any type, replacement only, each",2015,0.0,201.0
A4364,"Adhesive, liquid or equal, any type,  per oz",2013,35.0,1629.0
A4364,"Adhesive, liquid or equal, any type,  per oz",2014,20.0,1503.0
A4364,"Adhesive, liquid or equal, any type,  per oz",2015,18.0,1282.0
A4366,"Ostomy vent, any type, each",2013,0.0,381.0
A4366,"Ostomy vent, any type, each",2014,0.0,315.0
A4366,"Ostomy vent, any type, each",2015,0.0,360.0
A4367,"Ostomy belt, each",2013,598.0,9126.0
A4367,"Ostomy belt, each",2014,581.0,9090.0
A4367,"Ostomy belt, each",2015,684.0,10495.0
A4368,"Ostomy filter, any type, each",2013,0.0,215.0
A4368,"Ostomy filter, any type, each",2014,0.0,159.0
A4368,"Ostomy filter, any type, each",2015,0.0,173.0
A4369,"Ostomy skin barrier, liquid (spray, brush, etc), per oz",2013,31.0,1376.0
A4369,"Ostomy skin barrier, liquid (spray, brush, etc), per oz",2014,40.0,1479.0
A4369,"Ostomy skin barrier, liquid (spray, brush, etc), per oz",2015,82.0,1697.0
A4371,"Ostomy skin barrier, powder, per oz",2013,1057.0,11157.0
A4371,"Ostomy skin barrier, powder, per oz",2014,1100.0,11306.0
A4371,"Ostomy skin barrier, powder, per oz",2015,1196.0,12050.0
A4372,"Ostomy skin barrier, solid 4x4 or equivalent,  standard wear, with built-in convexity, each",2013,0.0,11.0
A4372,"Ostomy skin barrier, solid 4x4 or equivalent,  standard wear, with built-in convexity, each",2014,0.0,22.0
A4372,"Ostomy skin barrier, solid 4x4 or equivalent,  standard wear, with built-in convexity, each",2015,0.0,52.0
A4373,"Ostomy skin barrier, with flange (solid, flexible or accordian),  with built-in convexity, any size, each",2013,33.0,4582.0
A4373,"Ostomy skin barrier, with flange (solid, flexible or accordian),  with built-in convexity, any size, each",2014,59.0,4867.0
A4373,"Ostomy skin barrier, with flange (solid, flexible or accordian),  with built-in convexity, any size, each",2015,39.0,4364.0
A4375,"Ostomy pouch, drainable, with faceplate attached, plastic, each",2013,0.0,575.0
A4375,"Ostomy pouch, drainable, with faceplate attached, plastic, each",2014,0.0,424.0
A4375,"Ostomy pouch, drainable, with faceplate attached, plastic, each",2015,0.0,376.0
A4376,"Ostomy pouch, drainable, with faceplate attached, rubber, each",2013,0.0,68.0
A4376,"Ostomy pouch, drainable, with faceplate attached, rubber, each",2014,0.0,71.0
A4376,"Ostomy pouch, drainable, with faceplate attached, rubber, each",2015,0.0,57.0
A4377,"Ostomy pouch, drainable, for use on faceplate, plastic, each",2013,0.0,168.0
A4377,"Ostomy pouch, drainable, for use on faceplate, plastic, each",2014,0.0,172.0
A4377,"Ostomy pouch, drainable, for use on faceplate, plastic, each",2015,0.0,132.0
A4378,"Ostomy pouch, drainable, for use on faceplate, rubber, each",2013,0.0,57.0
A4378,"Ostomy pouch, drainable, for use on faceplate, rubber, each",2014,0.0,34.0
A4378,"Ostomy pouch, drainable, for use on faceplate, rubber, each",2015,0.0,12.0
A4379,"Ostomy pouch, urinary, with faceplate attached, plastic, each",2013,0.0,57.0
A4379,"Ostomy pouch, urinary, with faceplate attached, plastic, each",2014,0.0,91.0
A4379,"Ostomy pouch, urinary, with faceplate attached, plastic, each",2015,0.0,132.0
A4380,"Ostomy pouch, urinary, with faceplate attached, rubber, each",2013,0.0,11.0
A4380,"Ostomy pouch, urinary, with faceplate attached, rubber, each",2014,0.0,23.0
A4380,"Ostomy pouch, urinary, with faceplate attached, rubber, each",2015,0.0,15.0
A4381,"Ostomy pouch, urinary, for use on faceplate, plastic, each",2013,0.0,113.0
A4381,"Ostomy pouch, urinary, for use on faceplate, plastic, each",2014,0.0,76.0
A4381,"Ostomy pouch, urinary, for use on faceplate, plastic, each",2015,0.0,61.0
A4382,"Ostomy pouch, urinary, for use on faceplate, heavy plastic, each",2013,0.0,36.0
A4382,"Ostomy pouch, urinary, for use on faceplate, heavy plastic, each",2014,0.0,23.0
A4382,"Ostomy pouch, urinary, for use on faceplate, heavy plastic, each",2015,0.0,24.0
A4383,"Ostomy pouch, urinary, for use on faceplate, rubber, each",2013,0.0,14.0
A4383,"Ostomy pouch, urinary, for use on faceplate, rubber, each",2014,0.0,16.0
A4383,"Ostomy pouch, urinary, for use on faceplate, rubber, each",2015,0.0,12.0
A4384,"Ostomy faceplate equivalent, silicone ring, each",2013,0.0,62.0
A4384,"Ostomy faceplate equivalent, silicone ring, each",2014,0.0,50.0
A4384,"Ostomy faceplate equivalent, silicone ring, each",2015,0.0,49.0
A4385,"Ostomy skin barrier, solid 4x4 or equivalent, extended wear, without built-in convexity, each",2013,4002.0,47321.0
A4385,"Ostomy skin barrier, solid 4x4 or equivalent, extended wear, without built-in convexity, each",2014,4334.0,51601.0
A4385,"Ostomy skin barrier, solid 4x4 or equivalent, extended wear, without built-in convexity, each",2015,5313.0,55440.0
A4387,"Ostomy pouch, closed, with barrier attached, with built-in convexity (1 piece), each",2013,0.0,77.0
A4387,"Ostomy pouch, closed, with barrier attached, with built-in convexity (1 piece), each",2014,0.0,47.0
A4387,"Ostomy pouch, closed, with barrier attached, with built-in convexity (1 piece), each",2015,0.0,46.0
A4388,"Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each",2013,25.0,6974.0
A4388,"Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each",2014,23.0,6573.0
A4388,"Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each",2015,11.0,6026.0
A4389,"Ostomy pouch, drainable, with barrier attached, with built-in convexity (1 piece), each",2013,12.0,2951.0
A4389,"Ostomy pouch, drainable, with barrier attached, with built-in convexity (1 piece), each",2014,0.0,2931.0
A4389,"Ostomy pouch, drainable, with barrier attached, with built-in convexity (1 piece), each",2015,0.0,2719.0
A4390,"Ostomy pouch, drainable, with extended wear barrier attached, with built-in convexity (1 piece), each",2013,67.0,12308.0
A4390,"Ostomy pouch, drainable, with extended wear barrier attached, with built-in convexity (1 piece), each",2014,83.0,11807.0
A4390,"Ostomy pouch, drainable, with extended wear barrier attached, with built-in convexity (1 piece), each",2015,84.0,10405.0
A4391,"Ostomy pouch, urinary, with extended wear barrier attached (1 piece), each",2013,43.0,927.0
A4391,"Ostomy pouch, urinary, with extended wear barrier attached (1 piece), each",2014,79.0,1060.0
A4391,"Ostomy pouch, urinary, with extended wear barrier attached (1 piece), each",2015,57.0,1009.0
A4392,"Ostomy pouch, urinary, with standard wear barrier attached, with built-in convexity (1 piece), each",2013,28.0,723.0
A4392,"Ostomy pouch, urinary, with standard wear barrier attached, with built-in convexity (1 piece), each",2014,29.0,801.0
A4392,"Ostomy pouch, urinary, with standard wear barrier attached, with built-in convexity (1 piece), each",2015,21.0,818.0
A4393,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity (1 piece), each",2013,26.0,2242.0
A4393,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity (1 piece), each",2014,40.0,2212.0
A4393,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity (1 piece), each",2015,52.0,2138.0
A4394,"Ostomy deodorant, with or without lubricant,  for use in ostomy pouch, per fluid ounce",2013,2313.0,33505.0
A4394,"Ostomy deodorant, with or without lubricant,  for use in ostomy pouch, per fluid ounce",2014,2348.0,33804.0
A4394,"Ostomy deodorant, with or without lubricant,  for use in ostomy pouch, per fluid ounce",2015,2310.0,35512.0
A4395,"Ostomy deodorant for use in ostomy pouch, solid, per tablet",2013,0.0,122.0
A4395,"Ostomy deodorant for use in ostomy pouch, solid, per tablet",2014,0.0,107.0
A4395,"Ostomy deodorant for use in ostomy pouch, solid, per tablet",2015,0.0,119.0
A4396,Ostomy belt with peristomal hernia support,2013,136.0,447.0
A4396,Ostomy belt with peristomal hernia support,2014,124.0,377.0
A4396,Ostomy belt with peristomal hernia support,2015,166.0,453.0
A4397,"Irrigation supply; sleeve, each",2013,0.0,766.0
A4397,"Irrigation supply; sleeve, each",2014,0.0,637.0
A4397,"Irrigation supply; sleeve, each",2015,0.0,580.0
A4398,"Ostomy irrigation supply; bag, each",2013,0.0,48.0
A4398,"Ostomy irrigation supply; bag, each",2014,0.0,38.0
