hcpcs_code,hcpcs_description,year,bene_unique_cnt,line_srvc_cnt
00100,Anesthesia for procedure on salivary gland with biopsy,2012,51.0,53.0
00100,Anesthesia for procedure on salivary gland with biopsy,2013,49.0,51.0
00100,Anesthesia for procedure on salivary gland with biopsy,2014,41.0,41.0
00100,Anesthesia for procedure on salivary gland with biopsy,2015,57.0,60.0
00102,Anesthesia for procedure to repair lip defect present at birth,2012,17.0,17.0
00102,Anesthesia for procedure to repair lip defect present at birth,2015,129.0,130.0
00103,Anesthesia for procedure on eyelid,2012,68355.0,70126.0
00103,Anesthesia for procedure on eyelid,2013,73014.0,74975.0
00103,Anesthesia for procedure on eyelid,2014,69295.0,71091.0
00103,Anesthesia for procedure on eyelid,2015,69564.0,71318.0
00104,Anesthesia for electric shock treatment,2012,65980.0,138137.0
00104,Anesthesia for electric shock treatment,2013,65590.0,137756.0
00104,Anesthesia for electric shock treatment,2014,66172.0,140198.0
00104,Anesthesia for electric shock treatment,2015,66466.0,142799.0
00120,Anesthesia for biopsy of external middle and inner ear,2012,1872.0,1919.0
00120,Anesthesia for biopsy of external middle and inner ear,2013,1918.0,1958.0
00120,Anesthesia for biopsy of external middle and inner ear,2014,1815.0,1867.0
00120,Anesthesia for biopsy of external middle and inner ear,2015,2223.0,2425.0
00126,Anesthesia for incision of ear drum,2012,592.0,603.0
00126,Anesthesia for incision of ear drum,2013,677.0,692.0
00126,Anesthesia for incision of ear drum,2014,583.0,596.0
00126,Anesthesia for incision of ear drum,2015,746.0,761.0
00140,Anesthesia for procedure on eye,2012,77472.0,83583.0
00140,Anesthesia for procedure on eye,2013,78844.0,84925.0
00140,Anesthesia for procedure on eye,2014,79811.0,86122.0
00140,Anesthesia for procedure on eye,2015,83069.0,90030.0
00142,Anesthesia for lens surgery,2012,1748035.0,2003292.0
00142,Anesthesia for lens surgery,2013,1774575.0,2034496.0
00142,Anesthesia for lens surgery,2014,1722848.0,1976765.0
00142,Anesthesia for lens surgery,2015,1734195.0,1989403.0
00144,Anesthesia for procedure on eye for corneal transplant,2012,9539.0,10000.0
00144,Anesthesia for procedure on eye for corneal transplant,2013,9389.0,9859.0
00144,Anesthesia for procedure on eye for corneal transplant,2014,9152.0,9622.0
00144,Anesthesia for procedure on eye for corneal transplant,2015,9214.0,9694.0
00145,Anesthesia for retinal surgery,2012,77776.0,80776.0
00145,Anesthesia for retinal surgery,2013,78020.0,81036.0
00145,Anesthesia for retinal surgery,2014,77749.0,80550.0
00145,Anesthesia for retinal surgery,2015,77816.0,80580.0
00147,Anesthesia for procedure on eye for removal of iris,2012,191.0,213.0
00147,Anesthesia for procedure on eye for removal of iris,2013,339.0,353.0
00147,Anesthesia for procedure on eye for removal of iris,2014,281.0,295.0
00147,Anesthesia for procedure on eye for removal of iris,2015,235.0,244.0
00148,Anesthesia for eye examination using an endoscope,2012,131.0,147.0
00148,Anesthesia for eye examination using an endoscope,2013,27.0,27.0
0015F,Melan follow-up complete,2013,16.0,16.0
00160,Anesthesia for procedure on nose and sinus,2012,8936.0,9078.0
00160,Anesthesia for procedure on nose and sinus,2013,9414.0,9537.0
00160,Anesthesia for procedure on nose and sinus,2014,9088.0,9196.0
00160,Anesthesia for procedure on nose and sinus,2015,9114.0,9220.0
00164,Anesthesia for soft tissue biopsy on nose and sinus,2013,11.0,11.0
00164,Anesthesia for soft tissue biopsy on nose and sinus,2014,19.0,19.0
00164,Anesthesia for soft tissue biopsy on nose and sinus,2015,11.0,11.0
00170,Anesthesia for procedure on mouth including biopsy,2012,3257.0,3372.0
00170,Anesthesia for procedure on mouth including biopsy,2013,3266.0,3341.0
00170,Anesthesia for procedure on mouth including biopsy,2014,3458.0,3546.0
00170,Anesthesia for procedure on mouth including biopsy,2015,3137.0,3264.0
00190,Anesthesia for procedure on facial bones or skull,2012,219.0,225.0
00190,Anesthesia for procedure on facial bones or skull,2013,158.0,168.0
00190,Anesthesia for procedure on facial bones or skull,2014,192.0,197.0
00190,Anesthesia for procedure on facial bones or skull,2015,228.0,235.0
00192,Anesthesia for surgery of facial bones or skull,2014,14.0,14.0
00192,Anesthesia for surgery of facial bones or skull,2015,13.0,13.0
0019T,Low energy shock wave therapy of musculoskeletal system,2012,13.0,42.0
0019T,Low energy shock wave therapy of musculoskeletal system,2014,194.0,564.0
0019T,Low energy shock wave therapy of musculoskeletal system,2015,403.0,1160.0
00210,Anesthesia for procedure on brain,2012,5220.0,5313.0
00210,Anesthesia for procedure on brain,2013,5944.0,6057.0
00210,Anesthesia for procedure on brain,2014,6327.0,6442.0
00210,Anesthesia for procedure on brain,2015,6221.0,6334.0
00211,Anesthesia for procedure to remove blood collection in brain,2012,85.0,88.0
00211,Anesthesia for procedure to remove blood collection in brain,2013,75.0,83.0
00211,Anesthesia for procedure to remove blood collection in brain,2014,27.0,27.0
00214,Anesthesia for procedure to create holes in skull including X-ray imaging,2012,47.0,47.0
00214,Anesthesia for procedure to create holes in skull including X-ray imaging,2014,13.0,13.0
00214,Anesthesia for procedure to create holes in skull including X-ray imaging,2015,25.0,25.0
00216,Anesthesia for procedure on blood vessel in brain,2012,34.0,34.0
00216,Anesthesia for procedure on blood vessel in brain,2013,11.0,11.0
00216,Anesthesia for procedure on blood vessel in brain,2014,11.0,11.0
00216,Anesthesia for procedure on blood vessel in brain,2015,14.0,14.0
00218,Anesthesia for procedure on brain patient in sitting position,2012,62.0,62.0
00220,Anesthesia for procedure to drain brain and spinal cord fluid,2012,209.0,214.0
00220,Anesthesia for procedure to drain brain and spinal cord fluid,2013,235.0,243.0
00220,Anesthesia for procedure to drain brain and spinal cord fluid,2014,270.0,274.0
00220,Anesthesia for procedure to drain brain and spinal cord fluid,2015,217.0,221.0
00222,Anesthesia for procedure on nerve in brain,2012,70.0,72.0
00222,Anesthesia for procedure on nerve in brain,2013,56.0,63.0
00222,Anesthesia for procedure on nerve in brain,2014,48.0,51.0
00222,Anesthesia for procedure on nerve in brain,2015,24.0,25.0
00300,Anesthesia for procedure on esophagus and neck,2012,77192.0,80593.0
00300,Anesthesia for procedure on esophagus and neck,2013,71172.0,73976.0
00300,Anesthesia for procedure on esophagus and neck,2014,66867.0,69887.0
00300,Anesthesia for procedure on esophagus and neck,2015,64561.0,67445.0
0030T,Anti-clotting antibody analysis,2012,436.0,788.0
00320,"Anesthesia for procedure on esophagus and neck, age 1 year or older",2012,31228.0,31866.0
00320,"Anesthesia for procedure on esophagus and neck, age 1 year or older",2013,31461.0,32083.0
00320,"Anesthesia for procedure on esophagus and neck, age 1 year or older",2014,31896.0,32537.0
00320,"Anesthesia for procedure on esophagus and neck, age 1 year or older",2015,32816.0,33473.0
00322,Anesthesia for needle biopsy of thyroid,2015,11.0,12.0
00350,Anesthesia for procedure of major blood vessels of neck,2012,10505.0,10745.0
00350,Anesthesia for procedure of major blood vessels of neck,2013,9079.0,9286.0
00350,Anesthesia for procedure on major blood vessels of neck,2014,8878.0,9076.0
00350,Anesthesia for procedure on major blood vessels of neck,2015,7665.0,7829.0
00352,Anesthesia for tying procedure on major blood vessels of neck,2012,126.0,127.0
00352,Anesthesia for tying procedure on major blood vessels of neck,2013,115.0,116.0
00352,Anesthesia for tying procedure on major blood vessels of neck,2014,80.0,81.0
00352,Anesthesia for tying procedure on major blood vessels of neck,2015,102.0,103.0
00400,Anesthesia for procedure on skin of arms legs or trunk,2012,205314.0,210994.0
00400,Anesthesia for procedure on skin of arms legs or trunk,2013,202381.0,207692.0
00400,"Anesthesia for procedure on skin of arms, legs, or trunk",2014,181484.0,186225.0
00400,"Anesthesia for procedure on skin of arms, legs, or trunk",2015,165408.0,169735.0
00402,Anesthesia for breast reconstruction,2012,667.0,732.0
00402,Anesthesia for breast reconstruction,2013,971.0,1020.0
00402,Anesthesia for breast reconstruction,2014,893.0,959.0
00402,Anesthesia for breast reconstruction,2015,1003.0,1085.0
00404,Anesthesia for removal of breast,2012,745.0,757.0
00404,Anesthesia for removal of breast,2013,391.0,399.0
00404,Anesthesia for removal of breast,2014,318.0,324.0
00404,Anesthesia for removal of breast,2015,180.0,183.0
00406,Anesthesia for removal of breast and lymph nodes,2012,19.0,19.0
00406,Anesthesia for removal of breast and lymph nodes,2013,23.0,23.0
00406,Anesthesia for removal of breast and lymph nodes,2015,11.0,11.0
00410,Anesthesia for procedure to correct abnormal heart rhythm,2012,16726.0,17388.0
00410,Anesthesia for procedure to correct abnormal heart rhythm,2013,18327.0,18984.0
00410,Anesthesia for procedure to correct abnormal heart rhythm,2014,17892.0,18537.0
00410,Anesthesia for procedure to correct abnormal heart rhythm,2015,20495.0,21257.0
0042T,"Computed tomography (CT) brain blood flow, volume, and timing of flow analysis",2012,826.0,831.0
0042T,"Computed tomography (CT) of brain blood flow, volume, and timing of flow analysis with contrast",2014,262.0,266.0
0042T,"Computed tomography (CT) of brain blood flow, volume, and timing of flow analysis with contrast",2015,100.0,101.0
00450,Anesthesia for procedure on collar bone and shoulder blade,2012,11.0,11.0
0048T,Implantation of blood flow assist device in left lower heart,2012,13.0,13.0
00500,Anesthesia for procedure on esophagus,2012,77.0,79.0
00500,Anesthesia for procedure on esophagus,2013,165.0,167.0
00500,Anesthesia for procedure on esophagus,2014,234.0,239.0
00500,Anesthesia for procedure on esophagus,2015,222.0,231.0
00520,Anesthesia for closed procedure in chest,2014,32803.0,34155.0
00520,Anesthesia for closed procedure in chest,2015,34348.0,35631.0
00520,Anesthesia for procedure in chest,2012,28108.0,29249.0
00520,Anesthesia for procedure in chest,2013,32484.0,33894.0
00522,Anesthesia for closed needle biopsy of lung,2014,241.0,241.0
00522,Anesthesia for closed needle biopsy of lung,2015,261.0,261.0
00522,Anesthesia for needle biopsy of lung,2012,128.0,128.0
00522,Anesthesia for needle biopsy of lung,2013,153.0,153.0
00528,Anesthesia for closed diagnostic examination of chest using an endoscope,2014,276.0,276.0
00528,Anesthesia for closed diagnostic examination of chest using an endoscope,2015,234.0,236.0
00528,Anesthesia for diagnostic examination of chest using an endoscope,2013,309.0,311.0
00528,Anesthsia for diagnostic examination of chest using an endoscope,2012,420.0,423.0
00529,Anesthesia for closed diagnostic examination of chest using an endoscope with 1 lung ventilation,2014,74.0,74.0
00529,Anesthesia for closed diagnostic examination of chest using an endoscope with 1 lung ventilation,2015,18.0,18.0
00529,Anesthesia for diagnostic examination of chest using an endoscope with 1 lung ventilation,2012,70.0,71.0
00529,Anesthesia for diagnostic examination of chest using an endoscope with 1 lung ventilation,2013,51.0,51.0
00530,Anesthesia for insertion of permanent heart pacemaker,2012,17460.0,17605.0
00530,Anesthesia for insertion of permanent heart pacemaker,2013,17679.0,17800.0
00530,Anesthesia for insertion of permanent heart pacemaker,2014,16993.0,17131.0
00530,Anesthesia for insertion of permanent heart pacemaker,2015,16242.0,16323.0
00532,Anesthesia for central vein access,2012,39960.0,41002.0
00532,Anesthesia for central vein access,2013,34158.0,34986.0
00532,Anesthesia for central vein access,2014,31006.0,31722.0
00532,Anesthesia for central vein access,2015,27405.0,28004.0
00534,Anesthesia for insertion or replace of pacing heart defibrillator,2012,3483.0,3522.0
00534,Anesthesia for insertion or replace of pacing heart defibrillator,2013,3663.0,3706.0
00534,Anesthesia for insertion or replace of pacing heart defibrillator,2014,3035.0,3069.0
00534,Anesthesia for insertion or replace of pacing heart defibrillator,2015,14037.0,14168.0
00537,Anesthesia for procedure on heart to correct abnormal rhythm,2012,38309.0,38827.0
00537,Anesthesia for procedure on heart to correct abnormal rhythm,2013,43054.0,43576.0
00537,Anesthesia for procedure on heart to correct abnormal rhythm,2014,48095.0,48678.0
00537,Anesthesia for procedure on heart to correct abnormal rhythm,2015,36478.0,36907.0
00540,Anesthesia for procedure in chest,2012,845.0,854.0
00540,Anesthesia for procedure in chest,2013,869.0,877.0
00540,Anesthesia for procedure in chest,2014,677.0,685.0
00540,Anesthesia for procedure in chest,2015,563.0,569.0
00541,Anesthesia for procedure in chest with 1 lung ventilation,2012,8114.0,8190.0
00541,Anesthesia for procedure in chest with 1 lung ventilation,2013,8321.0,8410.0
00541,Anesthesia for procedure in chest with 1 lung ventilation,2014,8090.0,8149.0
00541,Anesthesia for procedure in chest with 1 lung ventilation,2015,7382.0,7429.0
00542,Anesthesia for removal of lung lining,2012,38.0,40.0
00542,Anesthesia for removal of lung lining,2013,24.0,25.0
00542,Anesthesia for removal of lung lining,2014,44.0,44.0
0054T,"Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation",2012,256.0,266.0
0054T,"Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation",2013,144.0,149.0
0054T,"Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation",2014,63.0,65.0
0054T,"Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation",2015,120.0,122.0
00550,Anesthesia for removal of breast bone tissue,2013,13.0,13.0
00550,Anesthesia for removal of breast bone tissue,2014,23.0,26.0
00550,Anesthesia for removal of breast bone tissue,2015,12.0,13.0
0055T,Musculoskeletal surgical navigational orthopedic operation using imaging guidance,2012,118.0,121.0
0055T,Musculoskeletal surgical navigational orthopedic operation using imaging guidance,2013,72.0,79.0
0055T,Musculoskeletal surgical navigational orthopedic operation using imaging guidance,2014,43.0,47.0
0055T,Musculoskeletal surgical navigational orthopedic operation using imaging guidance,2015,57.0,59.0
00560,Anesthesia for procedure on heart and great blood vessels,2012,1555.0,1585.0
00560,Anesthesia for procedure on heart and great blood vessels,2013,7355.0,7446.0
00560,Anesthesia for procedure on heart and great blood vessels,2014,11691.0,11804.0
00560,Anesthesia for procedure on heart and great blood vessels,2015,18125.0,18278.0
00562,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure",2012,39742.0,39860.0
00562,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure",2013,40762.0,40887.0
00562,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure",2014,37103.0,37217.0
00562,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure",2015,34816.0,34921.0
00563,Anesthesia for procedure on heart and great blood vessels on heart-lung machine,2012,2503.0,2510.0
00563,Anesthesia for procedure on heart and great blood vessels on heart-lung machine,2013,1948.0,1952.0
00563,Anesthesia for procedure on heart and great blood vessels on heart-lung machine,2014,1965.0,1970.0
00563,Anesthesia for procedure on heart and great blood vessels on heart-lung machine,2015,1287.0,1291.0
00566,Anesthesia for heart artery bypass grafting,2012,4596.0,4599.0
00566,Anesthesia for heart artery bypass grafting,2013,3662.0,3667.0
00566,Anesthesia for heart artery bypass grafting,2014,3020.0,3023.0
00566,Anesthesia for heart artery bypass grafting,2015,2278.0,2282.0
00567,Anesthesia for heart artery bypass grafting on heart-lung machine,2012,28907.0,28932.0
00567,Anesthesia for heart artery bypass grafting on heart-lung machine,2013,29336.0,29378.0
00567,Anesthesia for heart artery bypass grafting on heart-lung machine,2014,28574.0,28606.0
00567,Anesthesia for heart artery bypass grafting on heart-lung machine,2015,31055.0,31101.0
00580,Anesthesia for heart or heart-lung transplant,2012,11.0,12.0
00580,Anesthesia for heart or heart-lung transplant,2013,38.0,38.0
00580,Anesthesia for heart or heart-lung transplant,2014,27.0,27.0
00580,Anesthesia for heart or heart-lung transplant,2015,22.0,22.0
00600,Anesthesia for procedure on upper spine and spinal cord,2012,1883.0,2331.0
00600,Anesthesia for procedure on upper spine and spinal cord,2013,1844.0,2403.0
00600,Anesthesia for procedure on upper spine and spinal cord,2014,1836.0,2250.0
00600,Anesthesia for procedure on upper spine and spinal cord,2015,1737.0,2317.0
00604,"Anesthesia for procedure on spine and spinal cord, patient in sitting position",2013,11.0,11.0
00620,Anesthesia for procedure on middle spine and spinal cord,2012,528.0,630.0
00620,Anesthesia for procedure on middle spine and spinal cord,2013,395.0,459.0
00620,Anesthesia for procedure on middle spine and spinal cord,2014,382.0,437.0
00620,Anesthesia for procedure on middle spine and spinal cord,2015,351.0,407.0
00630,Anesthesia for procedure on lower spine,2012,38655.0,42752.0
00630,Anesthesia for procedure on lower spine,2013,36461.0,40583.0
00630,Anesthesia for procedure on lower spine,2014,34724.0,38032.0
00630,Anesthesia for procedure on lower spine,2015,32809.0,36339.0
00635,Anesthesia for spinal tap,2012,1118.0,1634.0
00635,Anesthesia for spinal tap,2013,741.0,1239.0
00635,Anesthesia for spinal tap,2014,741.0,1199.0
00635,Anesthesia for spinal tap,2015,197.0,515.0
00640,Anesthesia for closed manipulation of spine,2014,60.0,73.0
00640,Anesthesia for closed manipulation of spine,2015,29.0,34.0
00640,Anesthesia for manipulation of spine,2012,140.0,197.0
00640,Anesthesia for manipulation of spine,2013,192.0,308.0
00670,Anesthesia for procedure of spine and spinal cord,2012,84957.0,85811.0
00670,Anesthesia for procedure of spine and spinal cord,2013,94224.0,95105.0
00670,Anesthesia for procedure on spine and spinal cord,2014,99934.0,100896.0
00670,Anesthesia for procedure on spine and spinal cord,2015,105438.0,106463.0
00700,Anesthesia for procedure on upper front abdominal wall,2012,295.0,311.0
00700,Anesthesia for procedure on upper front abdominal wall,2013,180.0,190.0
00700,Anesthesia for procedure on upper front abdominal wall,2014,225.0,233.0
00700,Anesthesia for procedure on upper front abdominal wall,2015,65.0,68.0
00702,Anesthesia for liver biopsy,2012,61.0,61.0
00702,Anesthesia for liver biopsy,2013,59.0,59.0
00702,Anesthesia for liver biopsy (accessed through the skin),2014,25.0,26.0
00702,Anesthesia for liver biopsy (accessed through the skin),2015,55.0,55.0
00730,Anesthesia for procedure on upper rear abdominal wall,2013,41.0,47.0
00730,Anesthesia for procedure on upper rear abdominal wall,2015,12.0,15.0
0073T,Compensator-based beam modulation radiation treatment delivery,2012,754.0,15735.0
0073T,Compensator-based beam modulation radiation treatment delivery,2013,798.0,16525.0
0073T,Compensator-based beam modulation radiation treatment delivery per session,2014,464.0,9218.0
00740,Anesthesia for procedure on gastrointestinal tract using an endoscope,2012,1437670.0,1474219.0
00740,Anesthesia for procedure on gastrointestinal tract using an endoscope,2013,1529791.0,1567803.0
00740,Anesthesia for procedure on gastrointestinal tract using an endoscope,2014,1588346.0,1626920.0
00740,Anesthesia for procedure on gastrointestinal tract using an endoscope,2015,1626000.0,1663947.0
00750,Anesthesia for procedure to repair upper abdominal hernia,2012,53.0,53.0
00750,Anesthesia for procedure to repair upper abdominal hernia,2013,37.0,37.0
00750,Anesthesia for procedure to repair upper abdominal hernia,2014,12.0,12.0
00750,Anesthesia for procedure to repair upper abdominal hernia,2015,53.0,53.0
00752,Anesthesia for procedure to repair upper abdominal incisional hernia,2012,732.0,734.0
00752,Anesthesia for procedure to repair upper abdominal incisional hernia,2013,654.0,660.0
00752,Anesthesia for procedure to repair upper abdominal incisional hernia and/or wound opening,2014,418.0,419.0
00752,Anesthesia for procedure to repair upper abdominal incisional hernia and/or wound opening,2015,322.0,322.0
0075T,Insertion of stent into vertebral or carotid artery via catheter including radiologic supervision and interpretation,2013,11.0,11.0
0075T,"Percutaneous insertion of stents into vertebral or carotid artery via catheter, accessed through the skin including radiologic supervision and interpretation",2014,13.0,13.0
00770,Anesthesia for procedure on major abdominal blood vessels,2012,451.0,489.0
00770,Anesthesia for procedure on major abdominal blood vessels,2013,495.0,534.0
00770,Anesthesia for procedure on major abdominal blood vessels,2014,494.0,539.0
00770,Anesthesia for procedure on major abdominal blood vessels,2015,489.0,541.0
0078T,Insertion of prosthesis to repair a bulging defect of abdominal aorta and/or organ artery,2012,89.0,89.0
0078T,Insertion of prosthesis to repair a bulging defect of abdominal aorta and/or organ artery,2013,141.0,142.0
00790,Anesthesia for procedure in upper abdomen including use of an endoscope,2012,313180.0,315460.0
00790,Anesthesia for procedure in upper abdomen including use of an endoscope,2013,291484.0,293497.0
